available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value,family,method,run_dir,table_path
True,OE1,Flexibilidad energetica,,,,battery_capacity_fade_ratio,True,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,battery_charge_total,False,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,battery_discharge_total,False,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,battery_equivalent_full_cycles,False,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
False,OE1,Flexibilidad energetica,,,,community_import_share,False,citylearn_v2.evaluate_v2,,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
False,OE1,Flexibilidad energetica,,,,community_local_traded_daily_average,False,citylearn_v2.evaluate_v2,,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
False,OE1,Flexibilidad energetica,,,,community_local_traded_total,False,citylearn_v2.evaluate_v2,,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,ev_charge_total,False,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,ev_departure_count,True,citylearn_v2.evaluate_v2,2787.0,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,ev_departure_met_count,False,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,ev_departure_soc_deficit_mean,True,citylearn_v2.evaluate_v2,0.839354144233581,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,ev_departure_success_rate,False,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,ev_departure_within_tolerance_count,False,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,ev_departure_within_tolerance_rate,False,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,ev_v2g_export_total,False,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,grid_export_baseline,True,citylearn_v2.evaluate_v2,64470.686909005046,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,64470.686909005046,-3.8024380046408623e-05,True,grid_export_control,True,citylearn_v2.evaluate_v2,64470.686870980666,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,0.0,-1.906428416186819e-05,True,grid_export_delta,True,citylearn_v2.evaluate_v2,-1.906428416186819e-05,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,1.0,-5.897933252896337e-10,True,grid_export_ratio,True,citylearn_v2.evaluate_v2,0.9999999994102068,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,1.0,0.0,False,grid_import,True,citylearn_v2.evaluate_v2,1.0,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,grid_import_baseline,True,citylearn_v2.evaluate_v2,88668.89730077237,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,88668.89730077237,4.826346412301064e-06,False,grid_import_control,True,citylearn_v2.evaluate_v2,88668.89730559872,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,0.0,2.419785394408051e-06,False,grid_import_delta,True,citylearn_v2.evaluate_v2,2.419785394408051e-06,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,net_exchange_baseline,True,citylearn_v2.evaluate_v2,24198.210391767323,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,24198.210391767323,4.285072645870969e-05,False,net_exchange_control,True,citylearn_v2.evaluate_v2,24198.21043461805,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,0.0,2.148406955627624e-05,False,net_exchange_delta,True,citylearn_v2.evaluate_v2,2.148406955627624e-05,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,1.0,-1.6351346943110912e-09,True,one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9999999983648652,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,1.0,-6.454573764358429e-09,True,peak_average,True,citylearn_v2.evaluate_v2,0.9999999935454262,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,pv_export_daily_average,True,citylearn_v2.evaluate_v2,221.0643229732352,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,pv_export_total,True,citylearn_v2.evaluate_v2,80679.26687177362,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,pv_generation_daily_average,False,citylearn_v2.evaluate_v2,398.4627498423695,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,pv_generation_total,False,citylearn_v2.evaluate_v2,145422.30107788809,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,pv_self_consumption_ratio,False,citylearn_v2.evaluate_v2,0.4452070537065573,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,1.0,3.0235178805071423e-09,False,ramping_average,True,citylearn_v2.evaluate_v2,1.000000003023518,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,1.0,0.0,False,zero_net_energy,True,citylearn_v2.evaluate_v2,1.0,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE2,Emisiones de CO2,1.0,1.6995427287724851e-10,False,carbon_emissions,True,citylearn_v2.evaluate_v2,1.0000000001699545,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,16636.37982462966,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE2,Emisiones de CO2,16636.37982462966,3.39165490004234e-06,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,16636.379828021316,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,45.58432649744399,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE2,Emisiones de CO2,45.58432649744399,9.293266600707284e-09,False,carbon_emissions_daily_average_control,True,citylearn_v2.evaluate_v2,45.584326506737256,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE2,Emisiones de CO2,0.0,9.293266080718825e-09,False,carbon_emissions_daily_average_delta,True,citylearn_v2.evaluate_v2,9.293266080718825e-09,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE2,Emisiones de CO2,0.0,1.7004740830615295e-06,False,carbon_emissions_delta,True,citylearn_v2.evaluate_v2,1.7004740830615295e-06,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE3,Costos energeticos,1.0,-1.6351346943110912e-09,True,cost_one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9999999983648652,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE3,Costos energeticos,1.0,-6.454573764358429e-09,True,cost_peak_average,True,citylearn_v2.evaluate_v2,0.9999999935454262,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE3,Costos energeticos,1.0,3.0235178805071423e-09,False,cost_ramping_average,True,citylearn_v2.evaluate_v2,1.000000003023518,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE3,Costos energeticos,1.0,1.4355757249617795e-08,False,electricity_cost,True,citylearn_v2.evaluate_v2,1.0000000143557572,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE3,Costos energeticos,,,,electricity_cost_baseline,True,citylearn_v2.evaluate_v2,-927.5232605529018,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE3,Costos energeticos,-927.5232605529018,-1.3315298701854772e-05,True,electricity_cost_control,True,citylearn_v2.evaluate_v2,-927.5232738682004,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE3,Costos energeticos,,,,electricity_cost_daily_average_baseline,True,citylearn_v2.evaluate_v2,-2.541449737786236,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE3,Costos energeticos,-2.541449737786236,-3.6484435472772254e-08,True,electricity_cost_daily_average_control,True,citylearn_v2.evaluate_v2,-2.541449774270672,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE3,Costos energeticos,0.0,-3.6484435305915585e-08,True,electricity_cost_daily_average_delta,True,citylearn_v2.evaluate_v2,-3.6484435305915585e-08,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE3,Costos energeticos,0.0,-6.675891568580344e-06,True,electricity_cost_delta,True,citylearn_v2.evaluate_v2,-6.675891568580344e-06,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE3,Costos energeticos,0.6008859277407714,-3.124810299404146e-09,True,price_signal_deviation,True,derived_from_citylearn_v2_timeseries,0.6008859246159611,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,battery_capacity_fade_ratio,True,citylearn_v2.evaluate_v2,0.0005795900344428,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,battery_charge_total,False,citylearn_v2.evaluate_v2,31048.290894806385,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,battery_discharge_total,False,citylearn_v2.evaluate_v2,24750.353607565165,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,battery_equivalent_full_cycles,False,citylearn_v2.evaluate_v2,256.4275942204574,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,55798.64450237155,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
False,OE1,Flexibilidad energetica,,,,community_import_share,False,citylearn_v2.evaluate_v2,,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
False,OE1,Flexibilidad energetica,,,,community_local_traded_daily_average,False,citylearn_v2.evaluate_v2,,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
False,OE1,Flexibilidad energetica,,,,community_local_traded_total,False,citylearn_v2.evaluate_v2,,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,ev_charge_total,False,citylearn_v2.evaluate_v2,37497.81816992164,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
